chr	start	end	strand	type	id	geneName	geneId	numberOfTranscripts	canonicalTranscriptLength	transcriptId	cdsLength	numerOfExons	exonRank	exonSpliceType
gi|559794742|gb|CP003248.2|	583704	588704	+1	Upstream	CCP43227	Rv0492A	Rv0492A	1	330	CCP43227	330	1		
gi|559794742|gb|CP003248.2|	584182	589182	+1	Upstream	CCP43234	Rv0499	Rv0499	1	876	CCP43234	876	1		
gi|559794742|gb|CP003248.2|	584182	589182	+1	Upstream	CCP43234	Rv0499	Rv0499	1	876	CCP43234	876	1		
gi|559794742|gb|CP003248.2|	291808	296808	+1	Upstream	CCP42975	Rv0246	Rv0246	1	1311	CCP42975	1311	1		
gi|559794742|gb|CP003248.2|	291808	296808	+1	Upstream	CCP42975	Rv0246	Rv0246	1	1311	CCP42975	1311	1		
gi|559794742|gb|CP003248.2|	292029	297029	+1	Upstream	CCP42971	fabG4	Rv0242c	1	1365	CCP42971	1365	1		
gi|559794742|gb|CP003248.2|	292029	297029	+1	Upstream	CCP42971	fabG4	Rv0242c	1	1365	CCP42971	1365	1		
gi|559794742|gb|CP003248.2|	293115	298115	+1	Downstream	CCP42976	Rv0247c	Rv0247c	1	747	CCP42976	747	1		
gi|559794742|gb|CP003248.2|	293115	298115	+1	Downstream	CCP42976	Rv0247c	Rv0247c	1	747	CCP42976	747	1		
gi|559794742|gb|CP003248.2|	293493	298493	+1	Downstream	CCP42972	fadA2	Rv0243	1	1323	CCP42972	1323	1		
gi|559794742|gb|CP003248.2|	293493	298493	+1	Downstream	CCP42972	fadA2	Rv0243	1	1323	CCP42972	1323	1		
gi|559794742|gb|CP003248.2|	293705	298705	+1	Downstream	EBG00000313378	F6	EBG00000313378	1	102	EBG00000313378	102	1		
gi|559794742|gb|CP003248.2|	293705	298705	+1	Downstream	EBG00000313378	F6	EBG00000313378	1	102	EBG00000313378	102	1		
gi|559794742|gb|CP003248.2|	293862	298862	+1	Downstream	CCP42977	Rv0248c	Rv0248c	1	1941	CCP42977	1941	1		
gi|559794742|gb|CP003248.2|	293862	298862	+1	Downstream	CCP42977	Rv0248c	Rv0248c	1	1941	CCP42977	1941	1		
gi|559794742|gb|CP003248.2|	295633	300633	+1	Upstream	CCP42973	fadE5	Rv0244c	1	1836	CCP42973	1836	1		
gi|559794742|gb|CP003248.2|	295633	300633	+1	Upstream	CCP42973	fadE5	Rv0244c	1	1836	CCP42973	1836	1		
gi|559794742|gb|CP003248.2|	295833	300833	+1	Downstream	CCP42978	Rv0249c	Rv0249c	1	822	CCP42978	822	1		
gi|559794742|gb|CP003248.2|	295833	300833	+1	Downstream	CCP42978	Rv0249c	Rv0249c	1	822	CCP42978	822	1		
gi|559794742|gb|CP003248.2|	296493	296808	+1	Intergenic	Rv0245...Rv0246									
gi|559794742|gb|CP003248.2|	296493	296808	+1	Intergenic	Rv0245...Rv0246									
gi|559794742|gb|CP003248.2|	296493	301493	+1	Downstream	CCP42974	Rv0245	Rv0245	1	489	CCP42974	489	1		
gi|559794742|gb|CP003248.2|	296493	301493	+1	Downstream	CCP42974	Rv0245	Rv0245	1	489	CCP42974	489	1		
gi|559794742|gb|CP003248.2|	296734	301734	+1	Downstream	CCP42979	Rv0250c	Rv0250c	1	294	CCP42979	294	1		
gi|559794742|gb|CP003248.2|	296734	301734	+1	Downstream	CCP42979	Rv0250c	Rv0250c	1	294	CCP42979	294	1		
gi|559794742|gb|CP003248.2|	143876	148876	+1	Upstream	CCP42843	oxcA	Rv0118c	1	1749	CCP42843	1749	1		
gi|559794742|gb|CP003248.2|	143876	148876	+1	Upstream	CCP42843	oxcA	Rv0118c	1	1749	CCP42843	1749	1		
gi|559794742|gb|CP003248.2|	144532	149532	+1	Upstream	CCP42849	PE_PGRS2	Rv0124	1	1464	CCP42849	1464	1		
gi|559794742|gb|CP003248.2|	144532	149532	+1	Upstream	CCP42849	PE_PGRS2	Rv0124	1	1464	CCP42849	1464	1		
gi|559794742|gb|CP003248.2|	145626	150626	+1	Downstream	CCP42844	fadD7	Rv0119	1	1578	CCP42844	1578	1		
gi|559794742|gb|CP003248.2|	145626	150626	+1	Downstream	CCP42844	fadD7	Rv0119	1	1578	CCP42844	1578	1		
gi|559794742|gb|CP003248.2|	146147	151147	+1	Upstream	CCP42850	pepA	Rv0125	1	1068	CCP42850	1068	1		
gi|559794742|gb|CP003248.2|	146147	151147	+1	Upstream	CCP42850	pepA	Rv0125	1	1068	CCP42850	1068	1		
gi|559794742|gb|CP003248.2|	147323	152323	+1	Upstream	CCP42851	treS	Rv0126	1	1806	CCP42851	1806	1		
gi|559794742|gb|CP003248.2|	147323	152323	+1	Upstream	CCP42851	treS	Rv0126	1	1806	CCP42851	1806	1		
gi|559794742|gb|CP003248.2|	147771	152771	+1	Upstream	CCP42845	fusA2	Rv0120c	1	2145	CCP42845	2145	1		
gi|559794742|gb|CP003248.2|	147771	152771	+1	Upstream	CCP42845	fusA2	Rv0120c	1	2145	CCP42845	2145	1		
gi|559794742|gb|CP003248.2|	148342	153342	+1	Upstream	CCP42846	Rv0121c	Rv0121c	1	435	CCP42846	435	1		
gi|559794742|gb|CP003248.2|	148342	153342	+1	Upstream	CCP42846	Rv0121c	Rv0121c	1	435	CCP42846	435	1		
gi|559794742|gb|CP003248.2|	148490	148859	+1	Gene	Rv0122	Rv0122	Rv0122	1	369					
gi|559794742|gb|CP003248.2|	148490	148859	+1	Transcript	CCP42847	Rv0122	Rv0122	1	369	CCP42847	369	1		
gi|559794742|gb|CP003248.2|	148490	148859	+1	Cds	CDS_gi|559794742|gb|CP003248.2|_148491_148856	Rv0122	Rv0122	1	369	CCP42847	369	1		
gi|559794742|gb|CP003248.2|	148490	148859	+1	Exon	exon_gi|559794742|gb|CP003248.2|_148491_148859	Rv0122	Rv0122	1	369	CCP42847	369	1	1	RETAINED
gi|559794742|gb|CP003248.2|	148855	149224	+1	Gene	Rv0123	Rv0123	Rv0123	1	369					
gi|559794742|gb|CP003248.2|	148855	149224	+1	Transcript	CCP42848	Rv0123	Rv0123	1	369	CCP42848	369	1		
gi|559794742|gb|CP003248.2|	148855	149224	+1	Cds	CDS_gi|559794742|gb|CP003248.2|_148856_149221	Rv0123	Rv0123	1	369	CCP42848	369	1		
gi|559794742|gb|CP003248.2|	148855	149224	+1	Exon	exon_gi|559794742|gb|CP003248.2|_148856_149224	Rv0123	Rv0123	1	369	CCP42848	369	1	1	RETAINED
gi|559794742|gb|CP003248.2|	60417	65417	+1	Downstream	CCP42779	Rv0057	Rv0057	1	522	CCP42779	522	1		
gi|559794742|gb|CP003248.2|	60417	65417	+1	Downstream	CCP42779	Rv0057	Rv0057	1	522	CCP42779	522	1		
gi|559794742|gb|CP003248.2|	60551	65551	+1	Upstream	CCP42784	celA1	Rv0062	1	1143	CCP42784	1143	1		
gi|559794742|gb|CP003248.2|	60551	65551	+1	Upstream	CCP42784	celA1	Rv0062	1	1143	CCP42784	1143	1		
gi|559794742|gb|CP003248.2|	61922	66922	+1	Upstream	CCP42785	Rv0063	Rv0063	1	1440	CCP42785	1440	1		
gi|559794742|gb|CP003248.2|	61922	66922	+1	Upstream	CCP42785	Rv0063	Rv0063	1	1440	CCP42785	1440	1		
gi|559794742|gb|CP003248.2|	63020	68020	+1	Downstream	CCP42780	dnaB	Rv0058	1	2625	CCP42780	2625	1		
gi|559794742|gb|CP003248.2|	63020	68020	+1	Downstream	CCP42780	dnaB	Rv0058	1	2625	CCP42780	2625	1		
gi|559794742|gb|CP003248.2|	63619	68619	+1	Upstream	CCP42786	Rv0064	Rv0064	1	2940	CCP42786	2940	1		
gi|559794742|gb|CP003248.2|	63619	68619	+1	Upstream	CCP42786	Rv0064	Rv0064	1	2940	CCP42786	2940	1		
gi|559794742|gb|CP003248.2|	63892	68892	+1	Downstream	CCP42781	Rv0059	Rv0059	1	693	CCP42781	693	1		
gi|559794742|gb|CP003248.2|	63892	68892	+1	Downstream	CCP42781	Rv0059	Rv0059	1	693	CCP42781	693	1		
gi|559794742|gb|CP003248.2|	64967	69967	+1	Downstream	CCP42782	Rv0060	Rv0060	1	1059	CCP42782	1059	1		
gi|559794742|gb|CP003248.2|	64967	69967	+1	Downstream	CCP42782	Rv0060	Rv0060	1	1059	CCP42782	1059	1		
gi|559794742|gb|CP003248.2|	65350	65551	+1	Intergenic	Rv0061c...celA1									
gi|559794742|gb|CP003248.2|	65350	65551	+1	Intergenic	Rv0061c...celA1									
gi|559794742|gb|CP003248.2|	65350	70350	+1	Upstream	CCP42783	Rv0061c	Rv0061c	1	339	CCP42783	339	1		
gi|559794742|gb|CP003248.2|	65350	70350	+1	Upstream	CCP42783	Rv0061c	Rv0061c	1	339	CCP42783	339	1		
gi|559794742|gb|CP003248.2|	28365	33365	+1	Downstream	CCP42745	Rv0023	Rv0023	1	771	CCP42745	771	1		
gi|559794742|gb|CP003248.2|	28365	33365	+1	Downstream	CCP42745	Rv0023	Rv0023	1	771	CCP42745	771	1		
gi|559794742|gb|CP003248.2|	28581	33581	+1	Upstream	CCP42753	Rv0031	Rv0031	1	213	CCP42753	213	1		
gi|559794742|gb|CP003248.2|	28581	33581	+1	Upstream	CCP42753	Rv0031	Rv0031	1	213	CCP42753	213	1		
gi|559794742|gb|CP003248.2|	29207	34207	+1	Downstream	CCP42746	Rv0024	Rv0024	1	846	CCP42746	846	1		
gi|559794742|gb|CP003248.2|	29207	34207	+1	Downstream	CCP42746	Rv0024	Rv0024	1	846	CCP42746	846	1		
gi|559794742|gb|CP003248.2|	29294	34294	+1	Upstream	CCP42754	bioF2	Rv0032	1	2316	CCP42754	2316	1		
gi|559794742|gb|CP003248.2|	29294	34294	+1	Upstream	CCP42754	bioF2	Rv0032	1	2316	CCP42754	2316	1		
gi|559794742|gb|CP003248.2|	29607	34607	+1	Downstream	CCP42747	Rv0025	Rv0025	1	363	CCP42747	363	1		
gi|559794742|gb|CP003248.2|	29607	34607	+1	Downstream	CCP42747	Rv0025	Rv0025	1	363	CCP42747	363	1		
gi|559794742|gb|CP003248.2|	31068	36068	+1	Downstream	CCP42748	Rv0026	Rv0026	1	1347	CCP42748	1347	1		
gi|559794742|gb|CP003248.2|	31068	36068	+1	Downstream	CCP42748	Rv0026	Rv0026	1	1347	CCP42748	1347	1		
gi|559794742|gb|CP003248.2|	31506	36506	+1	Downstream	CCP42749	Rv0027	Rv0027	1	318	CCP42749	318	1		
gi|559794742|gb|CP003248.2|	31506	36506	+1	Downstream	CCP42749	Rv0027	Rv0027	1	318	CCP42749	318	1		
gi|559794742|gb|CP003248.2|	31606	36606	+1	Upstream	CCP42755	acpA	Rv0033	1	264	CCP42755	264	1		
gi|559794742|gb|CP003248.2|	31606	36606	+1	Upstream	CCP42755	acpA	Rv0033	1	264	CCP42755	264	1		
gi|559794742|gb|CP003248.2|	31819	36819	+1	Downstream	CCP42750	Rv0028	Rv0028	1	306	CCP42750	306	1		
gi|559794742|gb|CP003248.2|	31819	36819	+1	Downstream	CCP42750	Rv0028	Rv0028	1	306	CCP42750	306	1		
gi|559794742|gb|CP003248.2|	31866	36866	+1	Upstream	CCP42756	Rv0034	Rv0034	1	396	CCP42756	396	1		
gi|559794742|gb|CP003248.2|	31866	36866	+1	Upstream	CCP42756	Rv0034	Rv0034	1	396	CCP42756	396	1		
gi|559794742|gb|CP003248.2|	32258	37258	+1	Upstream	CCP42757	fadD34	Rv0035	1	1689	CCP42757	1689	1		
gi|559794742|gb|CP003248.2|	32258	37258	+1	Upstream	CCP42757	fadD34	Rv0035	1	1689	CCP42757	1689	1		
gi|559794742|gb|CP003248.2|	33154	38154	+1	Downstream	CCP42751	Rv0029	Rv0029	1	1098	CCP42751	1098	1		
gi|559794742|gb|CP003248.2|	33154	38154	+1	Downstream	CCP42751	Rv0029	Rv0029	1	1098	CCP42751	1098	1		
gi|559794742|gb|CP003248.2|	33223	33553	+1	Gene	Rv0030	Rv0030	Rv0030	1	330					
gi|559794742|gb|CP003248.2|	33223	33553	+1	Transcript	CCP42752	Rv0030	Rv0030	1	330	CCP42752	330	1		
gi|559794742|gb|CP003248.2|	33223	33553	+1	Cds	CDS_gi|559794742|gb|CP003248.2|_33224_33550	Rv0030	Rv0030	1	330	CCP42752	330	1		
gi|559794742|gb|CP003248.2|	33223	33553	+1	Exon	exon_gi|559794742|gb|CP003248.2|_33224_33553	Rv0030	Rv0030	1	330	CCP42752	330	1	1	RETAINED
gi|559794742|gb|CP003248.2|	13016	18016	+1	Downstream	CCP42731	ppiA	Rv0009	1	549	CCP42731	549	1		
gi|559794742|gb|CP003248.2|	13016	18016	+1	Downstream	CCP42731	ppiA	Rv0009	1	549	CCP42731	549	1		
gi|559794742|gb|CP003248.2|	13558	18558	+1	Upstream	CCP42732	Rv0010c	Rv0010c	1	426	CCP42732	426	1		
gi|559794742|gb|CP003248.2|	13558	18558	+1	Upstream	CCP42732	Rv0010c	Rv0010c	1	426	CCP42732	426	1		
gi|559794742|gb|CP003248.2|	13758	18758	+1	Downstream	CCP42738	pbpA	Rv0016c	1	1476	CCP42738	1476	1		
gi|559794742|gb|CP003248.2|	13758	18758	+1	Downstream	CCP42738	pbpA	Rv0016c	1	1476	CCP42738	1476	1		
gi|559794742|gb|CP003248.2|	13995	18995	+1	Upstream	CCP42733	Rv0011c	Rv0011c	1	282	CCP42733	282	1		
gi|559794742|gb|CP003248.2|	13995	18995	+1	Upstream	CCP42733	Rv0011c	Rv0011c	1	282	CCP42733	282	1		
gi|559794742|gb|CP003248.2|	14877	19877	+1	Downstream	CCP42734	Rv0012	Rv0012	1	789	CCP42734	789	1		
gi|559794742|gb|CP003248.2|	14877	19877	+1	Downstream	CCP42734	Rv0012	Rv0012	1	789	CCP42734	789	1		
gi|559794742|gb|CP003248.2|	15230	20230	+1	Downstream	CCP42739	rodA	Rv0017c	1	1410	CCP42739	1410	1		
gi|559794742|gb|CP003248.2|	15230	20230	+1	Downstream	CCP42739	rodA	Rv0017c	1	1410	CCP42739	1410	1		
gi|559794742|gb|CP003248.2|	15612	20612	+1	Downstream	CCP42735	trpG	Rv0013	1	699	CCP42735	699	1		
gi|559794742|gb|CP003248.2|	15612	20612	+1	Downstream	CCP42735	trpG	Rv0013	1	699	CCP42735	699	1		
gi|559794742|gb|CP003248.2|	16636	21636	+1	Downstream	CCP42740	pstP	Rv0018c	1	1545	CCP42740	1545	1		
gi|559794742|gb|CP003248.2|	16636	21636	+1	Downstream	CCP42740	pstP	Rv0018c	1	1545	CCP42740	1545	1		
gi|559794742|gb|CP003248.2|	17466	18762	-1	Gene	Rv0015c	pknA	Rv0015c	1	1296					
gi|559794742|gb|CP003248.2|	17466	18762	-1	Transcript	CCP42737	pknA	Rv0015c	1	1296	CCP42737	1296	1		
gi|559794742|gb|CP003248.2|	17466	18762	-1	Cds	stop_codon_gi|559794742|gb|CP003248.2|_17467_17469	pknA	Rv0015c	1	1296	CCP42737	1296	1		
gi|559794742|gb|CP003248.2|	17466	18762	-1	Exon	exon_gi|559794742|gb|CP003248.2|_17467_18762	pknA	Rv0015c	1	1296	CCP42737	1296	1	1	RETAINED
gi|559794742|gb|CP003248.2|	17470	22470	+1	Upstream	CCP42736	pknB	Rv0014c	1	1881	CCP42736	1881	1		
gi|559794742|gb|CP003248.2|	17470	22470	+1	Upstream	CCP42736	pknB	Rv0014c	1	1881	CCP42736	1881	1		
gi|559794742|gb|CP003248.2|	5886	10886	+1	Upstream	EBG00000313329	ileT	EBG00000313329	1	74	EBG00000313329	74	1		
gi|559794742|gb|CP003248.2|	5886	10886	+1	Upstream	EBG00000313329	ileT	EBG00000313329	1	74	EBG00000313329	74	1		
gi|559794742|gb|CP003248.2|	6111	11111	+1	Upstream	EBG00000313365	alaT	EBG00000313365	1	73	EBG00000313365	73	1		
gi|559794742|gb|CP003248.2|	6111	11111	+1	Upstream	EBG00000313365	alaT	EBG00000313365	1	73	EBG00000313365	73	1		
gi|559794742|gb|CP003248.2|	6873	11873	+1	Downstream	CCP42730	Rv0008c	Rv0008c	1	438	CCP42730	438	1		
gi|559794742|gb|CP003248.2|	6873	11873	+1	Downstream	CCP42730	Rv0008c	Rv0008c	1	438	CCP42730	438	1		
gi|559794742|gb|CP003248.2|	7267	12267	+1	Downstream	CCP42727	gyrB	Rv0005	1	2028	CCP42727	2028	1		
gi|559794742|gb|CP003248.2|	7267	12267	+1	Downstream	CCP42727	gyrB	Rv0005	1	2028	CCP42727	2028	1		
gi|559794742|gb|CP003248.2|	7467	12467	+1	Upstream	CCP42731	ppiA	Rv0009	1	549	CCP42731	549	1		
gi|559794742|gb|CP003248.2|	7467	12467	+1	Upstream	CCP42731	ppiA	Rv0009	1	549	CCP42731	549	1		
gi|559794742|gb|CP003248.2|	8132	13132	+1	Downstream	CCP42732	Rv0010c	Rv0010c	1	426	CCP42732	426	1		
gi|559794742|gb|CP003248.2|	8132	13132	+1	Downstream	CCP42732	Rv0010c	Rv0010c	1	426	CCP42732	426	1		
gi|559794742|gb|CP003248.2|	8713	13713	+1	Downstream	CCP42733	Rv0011c	Rv0011c	1	282	CCP42733	282	1		
gi|559794742|gb|CP003248.2|	8713	13713	+1	Downstream	CCP42733	Rv0011c	Rv0011c	1	282	CCP42733	282	1		
gi|559794742|gb|CP003248.2|	9088	14088	+1	Upstream	CCP42734	Rv0012	Rv0012	1	789	CCP42734	789	1		
gi|559794742|gb|CP003248.2|	9088	14088	+1	Upstream	CCP42734	Rv0012	Rv0012	1	789	CCP42734	789	1		
gi|559794742|gb|CP003248.2|	9818	14818	+1	Downstream	CCP42728	gyrA	Rv0006	1	2517	CCP42728	2517	1		
gi|559794742|gb|CP003248.2|	9818	14818	+1	Downstream	CCP42728	gyrA	Rv0006	1	2517	CCP42728	2517	1		
